task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
26	3a/775af5	212559	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5556343)	COMPLETED	0	2024-06-02 20:52:07.697	59.9s	1m	403.4%	117.9 MB	957.6 MB	173.2 MB	163.5 MB
24	7c/473581	214814	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SRR13500958)	COMPLETED	0	2024-06-02 20:53:07.569	38.5s	38s	401.5%	138.7 MB	978.3 MB	92.5 MB	83 MB
23	12/e7fdd1	216669	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5743893)	COMPLETED	0	2024-06-02 20:53:46.061	40.8s	40s	402.1%	111.9 MB	949.5 MB	116.8 MB	107.1 MB
25	c1/40a794	218515	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5181310)	COMPLETED	0	2024-06-02 20:54:26.901	5m 2s	5m 1s	405.0%	120.2 MB	959 MB	820.8 MB	807.8 MB
22	ff/c62266	225881	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5405022)	COMPLETED	0	2024-06-02 20:59:29.090	20s	20s	402.7%	97.3 MB	956.2 MB	92.7 MB	84.5 MB
27	38/302612	227300	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5556343)	COMPLETED	0	2024-06-02 20:59:49.130	1.5s	1s	278.7%	8 MB	21.5 MB	7.9 MB	7.2 MB
28	09/0b8391	227704	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR13500958)	COMPLETED	0	2024-06-02 20:59:50.600	802ms	1s	290.5%	3.9 MB	11.6 MB	12.1 MB	5.1 MB
19	66/1ffd77	227930	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (SRR13500958)	COMPLETED	0	2024-06-02 20:59:51.413	9.4s	8s	224.3%	588.1 MB	4.2 GB	33.2 MB	3.9 MB
21	25/714a14	228539	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5556343)	COMPLETED	0	2024-06-02 21:00:00.815	8.4s	7s	248.3%	805 MB	4.1 GB	29.1 MB	3.8 MB
18	79/22465d	229133	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5743893)	COMPLETED	0	2024-06-02 21:00:09.206	6.4s	5s	262.4%	633.5 MB	4.2 GB	26.5 MB	3.8 MB
20	89/9caad7	229579	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5181310)	COMPLETED	0	2024-06-02 21:00:15.664	11.4s	10s	226.3%	832 MB	4.3 GB	60.1 MB	3.8 MB
14	d4/7f73fa	230296	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5743893)	COMPLETED	0	2024-06-02 21:00:27.087	7.3s	6s	229.5%	730.9 MB	4.2 GB	33 MB	3.9 MB
8	6b/546941	230797	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5405022)	COMPLETED	0	2024-06-02 21:00:34.432	6.3s	5s	247.9%	385.5 MB	4.1 GB	33 MB	3.6 MB
17	1c/5a2f63	231261	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5405022)	COMPLETED	0	2024-06-02 21:00:40.702	6.4s	5s	275.5%	383.6 MB	4.1 GB	27.6 MB	3.7 MB
13	2f/7e4fba	231703	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5556343)	COMPLETED	0	2024-06-02 21:00:47.070	7.4s	6s	226.5%	613 MB	4.2 GB	34.1 MB	3.8 MB
7	8a/97051a	232204	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5181310)	COMPLETED	0	2024-06-02 21:00:54.483	13.5s	12s	206.7%	787.4 MB	4.1 GB	73.1 MB	3.9 MB
15	41/db347b	232975	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (SRR13500958)	COMPLETED	0	2024-06-02 21:01:08.046	7.5s	6s	247.0%	379.3 MB	4.1 GB	37.3 MB	4 MB
29	09/b572fc	233478	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5743893)	COMPLETED	0	2024-06-02 21:01:15.575	1s	1s	291.3%	4.7 MB	11.7 MB	5.1 MB	4.6 MB
16	54/85a6ed	233695	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2024-06-02 21:01:16.593	2.7s	3s	81.4%	77 MB	9.2 GB	19.3 MB	17 KB
30	b4/84c98f	234213	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5181310)	COMPLETED	0	2024-06-02 21:01:19.321	3.9s	4s	357.0%	724.1 MB	3.8 GB	35.5 MB	32.4 MB
31	1e/261bce	234592	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5405022)	COMPLETED	0	2024-06-02 21:01:23.179	943ms	1s	326.6%	3.8 MB	11.6 MB	7.8 MB	7.4 MB
32	8c/af7a19	234802	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5556343)	COMPLETED	0	2024-06-02 21:01:24.128	644ms	0ms	120.5%	3.9 MB	11.6 MB	7.3 MB	5 KB
33	9f/52831b	235023	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR13500958)	COMPLETED	0	2024-06-02 21:01:24.789	553ms	0ms	102.9%	3.9 MB	11.6 MB	5.2 MB	5 KB
34	84/6b2dea	235210	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5743893)	COMPLETED	0	2024-06-02 21:01:25.350	592ms	0ms	108.6%	4.8 MB	11.7 MB	4.7 MB	5 KB
35	2e/4b9242	235406	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5181310)	COMPLETED	0	2024-06-02 21:01:25.948	1.3s	1s	134.6%	3.8 MB	11.7 MB	32.6 MB	5 KB
36	a9/03548b	235600	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5405022)	COMPLETED	0	2024-06-02 21:01:27.367	565ms	0ms	101.9%	3.9 MB	11.6 MB	7.5 MB	5 KB
44	ff/ef2809	235843	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR13500958)	COMPLETED	0	2024-06-02 21:01:27.998	505ms	0ms	96.7%	3.9 MB	11.6 MB	120.7 KB	4.9 KB
37	89/ce3f25	236040	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5556343)	COMPLETED	0	2024-06-02 21:01:28.510	513ms	0ms	88.9%	3.6 MB	7.8 MB	120.7 KB	4.9 KB
49	3c/e60f18	236256	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5743893)	COMPLETED	0	2024-06-02 21:01:29.031	563ms	0ms	106.4%	3.8 MB	11.6 MB	4.7 MB	5.4 KB
48	9d/80c638	236456	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR13500958)	COMPLETED	0	2024-06-02 21:01:29.603	599ms	1s	100.9%	3.9 MB	11.7 MB	5.2 MB	5.4 KB
47	12/d0b986	236709	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5405022)	COMPLETED	0	2024-06-02 21:01:30.213	470ms	0ms	88.9%	4.7 MB	11.7 MB	120.7 KB	4.9 KB
46	7f/9ac4cb	236932	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5181310)	COMPLETED	0	2024-06-02 21:01:30.695	427ms	1s	88.9%	4.7 MB	11.7 MB	120.7 KB	4.9 KB
45	db/3ff644	237125	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5743893)	COMPLETED	0	2024-06-02 21:01:31.132	431ms	0ms	78.7%	3.8 MB	11.7 MB	120.7 KB	4.9 KB
51	01/7d66ca	237347	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5405022)	COMPLETED	0	2024-06-02 21:01:31.580	582ms	1s	106.7%	4.8 MB	11.7 MB	7.5 MB	5.4 KB
50	16/30712f	237549	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5181310)	COMPLETED	0	2024-06-02 21:01:32.169	1.3s	1s	129.7%	3.9 MB	11.6 MB	32.6 MB	5.4 KB
39	6f/e79d21	237774	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5556343)	COMPLETED	0	2024-06-02 21:01:33.489	662ms	1s	113.8%	3.9 MB	11.6 MB	7.3 MB	5.4 KB
41	96/eba00a	237995	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5743893)	COMPLETED	0	2024-06-02 21:01:34.160	1.3s	1s	112.9%	4.7 MB	11.7 MB	4.7 MB	104.7 KB
43	95/1dcec9	238233	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5405022)	COMPLETED	0	2024-06-02 21:01:35.428	1.1s	1s	114.9%	3.9 MB	11.6 MB	7.5 MB	94.2 KB
38	9f/f53548	238446	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5556343)	COMPLETED	0	2024-06-02 21:01:36.509	1.7s	2s	115.1%	7.7 MB	222.3 MB	7.3 MB	104.4 KB
42	2e/a09430	238711	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5181310)	COMPLETED	0	2024-06-02 21:01:38.189	7.4s	7s	115.2%	7.8 MB	222 MB	32.6 MB	99 KB
40	3d/1fff06	239261	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SRR13500958)	COMPLETED	0	2024-06-02 21:01:45.552	1.1s	1s	113.2%	4.7 MB	11.7 MB	5.2 MB	138.9 KB
54	e8/6efbdb	239472	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (ERR5405022)	COMPLETED	0	2024-06-02 21:01:46.700	5.1s	5s	99.5%	11.5 MB	17.4 MB	7.5 MB	7.4 MB
52	c2/d3a6ff	239908	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (ERR5743893)	COMPLETED	0	2024-06-02 21:01:51.759	2.6s	2s	98.3%	11.3 MB	17.2 MB	4.7 MB	4.6 MB
53	02/3aea05	240216	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (SRR13500958)	COMPLETED	0	2024-06-02 21:01:54.357	1.8s	2s	98.5%	9.3 MB	15.5 MB	5.2 MB	5.1 MB
55	21/c1daa8	240465	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (ERR5181310)	COMPLETED	0	2024-06-02 21:01:56.129	13.5s	13s	99.4%	26.2 MB	32.1 MB	32.5 MB	32.9 MB
56	24/cb8861	241212	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (ERR5556343)	COMPLETED	0	2024-06-02 21:02:09.685	3.5s	4s	99.0%	11.4 MB	17.2 MB	7.3 MB	7.3 MB
57	97/f13753	241566	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5405022)	COMPLETED	0	2024-06-02 21:02:13.157	955ms	1s	308.9%	3.9 MB	11.7 MB	7.5 MB	7.4 MB
58	27/b7e863	241779	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5743893)	COMPLETED	0	2024-06-02 21:02:14.119	923ms	0ms	296.6%	3.9 MB	11.6 MB	4.7 MB	4.6 MB
59	da/c8c205	242010	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR13500958)	COMPLETED	0	2024-06-02 21:02:15.048	785ms	0ms	275.9%	4.6 MB	11.8 MB	5.2 MB	5.1 MB
60	f0/96b2ff	242236	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5181310)	COMPLETED	0	2024-06-02 21:02:15.839	4.4s	4s	334.6%	733.4 MB	3.8 GB	33 MB	32.8 MB
61	ed/82d2a4	242624	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5556343)	COMPLETED	0	2024-06-02 21:02:20.290	1.2s	1s	318.6%	3.8 MB	11.4 MB	7.4 MB	7.2 MB
63	c2/afa826	242825	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5405022)	COMPLETED	0	2024-06-02 21:02:21.457	626ms	0ms	109.4%	4.6 MB	11.7 MB	7.5 MB	5 KB
62	57/aeec1c	243039	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (ERR5405022)	COMPLETED	0	2024-06-02 21:02:22.094	9.8s	9s	124.8%	80.1 MB	119.3 MB	59.9 MB	52.3 MB
64	c9/4cee67	243975	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5743893)	COMPLETED	0	2024-06-02 21:02:31.863	589ms	0ms	109.4%	4 MB	11.7 MB	4.7 MB	5 KB
65	38/cb2b72	244199	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (ERR5743893)	COMPLETED	0	2024-06-02 21:02:32.458	10s	10s	124.8%	149.8 MB	220.9 MB	71.9 MB	67.2 MB
67	b2/4bd9d9	245157	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR13500958)	COMPLETED	0	2024-06-02 21:02:42.498	533ms	0ms	100.3%	4.6 MB	11.7 MB	5.2 MB	5 KB
66	b8/5fa927	245371	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SRR13500958)	COMPLETED	0	2024-06-02 21:02:43.045	9.1s	9s	122.2%	79.3 MB	118 MB	55.7 MB	50.4 MB
68	93/6ceb7e	246237	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5181310)	COMPLETED	0	2024-06-02 21:02:52.127	1.4s	1s	134.4%	3.8 MB	11.6 MB	32.9 MB	5 KB
69	11/6e354f	246421	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (ERR5181310)	COMPLETED	0	2024-06-02 21:02:53.507	42.2s	42s	170.2%	1 GB	1.6 GB	558.7 MB	525.7 MB
70	15/81903f	247946	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5556343)	COMPLETED	0	2024-06-02 21:03:35.690	741ms	0ms	105.9%	3.6 MB	9.4 MB	7.3 MB	5 KB
71	c3/d29abb	248142	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (ERR5556343)	COMPLETED	0	2024-06-02 21:03:36.438	11.2s	11s	135.9%	152.5 MB	225.3 MB	113.3 MB	105.9 MB
73	1a/ceabe7	249234	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_AMPLICON (ERR5405022)	COMPLETED	0	2024-06-02 21:03:47.689	493ms	1s	250.2%	4.9 MB	13.5 MB	7.6 MB	405.5 KB
77	b5/0c3e17	249436	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_GENOME (ERR5743893)	COMPLETED	0	2024-06-02 21:03:48.188	443ms	0ms	281.1%	4.5 MB	9.2 MB	4.7 MB	105.3 KB
76	5d/c92090	249641	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_AMPLICON (ERR5743893)	COMPLETED	0	2024-06-02 21:03:48.636	406ms	0ms	272.2%	4.6 MB	9.2 MB	4.7 MB	165.7 KB
74	9e/e86ba8	249853	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_GENOME (ERR5405022)	COMPLETED	0	2024-06-02 21:03:49.048	414ms	0ms	273.0%	4.5 MB	9.2 MB	7.6 MB	295.5 KB
81	e7/0375b0	250049	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_GENOME (SRR13500958)	COMPLETED	0	2024-06-02 21:03:49.470	412ms	0ms	277.1%	4.5 MB	9.8 MB	5.2 MB	150 KB
82	a1/4bc917	250247	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_AMPLICON (SRR13500958)	COMPLETED	0	2024-06-02 21:03:49.887	434ms	0ms	272.5%	4.5 MB	13.1 MB	5.3 MB	221.4 KB
85	b7/e21a17	250445	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_GENOME (ERR5181310)	COMPLETED	0	2024-06-02 21:03:50.327	854ms	1s	408.0%	4.6 MB	9.2 MB	32.9 MB	199.5 KB
84	ae/32f3d3	250641	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_AMPLICON (ERR5181310)	COMPLETED	0	2024-06-02 21:03:51.188	913ms	1s	395.5%	4.6 MB	9.2 MB	32.9 MB	342.1 KB
88	cc/9c31d4	250842	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_GENOME (ERR5556343)	COMPLETED	0	2024-06-02 21:03:52.107	475ms	0ms	313.2%	4.5 MB	9.2 MB	7.4 MB	113.4 KB
90	0f/fde25c	251040	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_AMPLICON (ERR5556343)	COMPLETED	0	2024-06-02 21:03:52.588	474ms	0ms	329.2%	4.6 MB	9.2 MB	7.4 MB	182.8 KB
91	d4/79c99a	251265	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5405022)	COMPLETED	0	2024-06-02 21:03:53.067	424ms	0ms	78.7%	4.6 MB	11.7 MB	120.8 KB	4.9 KB
97	68/dac935	251476	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR13500958)	COMPLETED	0	2024-06-02 21:03:53.499	413ms	0ms	77.8%	3.9 MB	11.7 MB	120.7 KB	4.9 KB
98	10/53abaf	251678	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5181310)	COMPLETED	0	2024-06-02 21:03:53.919	434ms	0ms	82.1%	4.6 MB	11.7 MB	120.7 KB	4.9 KB
102	05/b22fd6	251890	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5743893)	COMPLETED	0	2024-06-02 21:03:54.362	570ms	0ms	104.5%	4.7 MB	11.7 MB	4.7 MB	5.4 KB
104	e4/f64ed0	252091	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5181310)	COMPLETED	0	2024-06-02 21:03:54.939	1.3s	1s	127.6%	3.8 MB	11.6 MB	32.9 MB	5.4 KB
92	68/7e0927	252304	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5405022)	COMPLETED	0	2024-06-02 21:03:56.267	555ms	0ms	107.7%	4.6 MB	11.7 MB	7.5 MB	5.4 KB
94	f2/68c70b	252511	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5743893)	COMPLETED	0	2024-06-02 21:03:56.830	401ms	0ms	82.1%	3.8 MB	11.6 MB	120.7 KB	4.9 KB
99	5a/95210c	252723	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5556343)	COMPLETED	0	2024-06-02 21:03:57.239	433ms	0ms	77.8%	3.8 MB	11.6 MB	120.7 KB	4.9 KB
105	a5/1686ba	252927	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5556343)	COMPLETED	0	2024-06-02 21:03:57.678	604ms	1s	111.3%	4.6 MB	11.7 MB	7.3 MB	5.4 KB
